Tahun,Menara,Provinsi,Source
Tahun 2018,1105,RIAU,BPS
Tahun 2014,511,JAMBI,BPS
Tahun 2018,623,JAMBI,BPS
Tahun 2014,991,SUMATERA SELATAN,BPS
Tahun 2018,1254,SUMATERA SELATAN,BPS
Tahun 2014,310,BENGKULU,BPS
Tahun 2018,392,BENGKULU,BPS
Tahun 2014,919,LAMPUNG,BPS
Tahun 2018,1189,LAMPUNG,BPS
Tahun 2014,279,KEP. BANGKA BELITUNG,BPS
Tahun 2018,317,KEP. BANGKA BELITUNG,BPS
Tahun 2014,232,KEP. RIAU,BPS
Tahun 2018,257,KEP. RIAU,BPS
Tahun 2014,223,DKI JAKARTA,BPS
Tahun 2018,224,DKI JAKARTA,BPS
Tahun 2014,3716,JAWA BARAT,BPS
Tahun 2018,3963,JAWA BARAT,BPS
Tahun 2014,3150,JAWA TENGAH,BPS
Tahun 2018,3746,JAWA TENGAH,BPS
Tahun 2014,291,DI YOGYAKARTA,BPS
Tahun 2018,320,DI YOGYAKARTA,BPS
Tahun 2014,3533,JAWA TIMUR,BPS
Tahun 2018,4062,JAWA TIMUR,BPS
Tahun 2014,952,BANTEN,BPS
Tahun 2018,970,BANTEN,BPS
Tahun 2014,429,BALI,BPS
Tahun 2018,479,BALI,BPS
Tahun 2014,659,NUSA TENGGARA BARAT,BPS
Tahun 2018,792,NUSA TENGGARA BARAT,BPS
Tahun 2014,517,NUSA TENGGARA TIMUR,BPS
Tahun 2018,842,NUSA TENGGARA TIMUR,BPS
Tahun 2014,620,KALIMANTAN BARAT,BPS
Tahun 2018,710,KALIMANTAN BARAT,BPS
Tahun 2014,369,KALIMANTAN TENGAH,BPS
Tahun 2018,478,KALIMANTAN TENGAH,BPS
Tahun 2014,555,KALIMANTAN SELATAN,BPS
Tahun 2018,739,KALIMANTAN SELATAN,BPS
Tahun 2014,430,KALIMANTAN TIMUR,BPS
Tahun 2018,510,KALIMANTAN TIMUR,BPS
Tahun 2014,138,KALIMANTAN UTARA,BPS
Tahun 2018,182,KALIMANTAN UTARA,BPS
Tahun 2014,477,SULAWESI UTARA,BPS
Tahun 2018,579,SULAWESI UTARA,BPS
